card_number,text
95,"Hey, we matched a few weeks ago, but the convo kind of fizzled. Want to pick it back up?"
96,"Mom, saying that people who do chores have ""big-dick energy"" isn't gonna make me wanna do the dishes."
97,Will you Venmo me for our date back in September? Money's been kind of tight lately
98,"I left our date confused, but I finally put the pieces together. You look like Miss Wisconsin. Uncanny."
99,"Sorry about last night, never let me drink vodka again."
100,"Hey, wanna come over? My mom is making her famous PB&Js."
101,"I just got my period, thank God! No offense but you're not really the type I'm trying to procreate with."
102,Did you break the urn that held nana's ashes in the living room? The couch is covered in them.
103,"Hey, you forgot my half birthday. Not mad, just disappointed"
104,Hey you remember the night after your graduation when I bought you that shot? You think you can Venmo® me that $4?
105,Did you feel the passion between us when we were holding hands in the back of the Uber® last night?
106,"I'm sorry I used you as a rebound. But it worked, my girlfriend got really jealous :)"
107,"Forget nudes, lemme see those molars."
108,Did you get your adult circumcision taken care of yet?
109,After I told my mom about your Chewbacca impersonation she's been dying to meet you!
110,She held my hand at the Dave Matthews concert last night. Idk man I really like her.
111,"Not to crush your dreams, but I don't think you can intern at Google® if you dropped out of the 8th grade."
112,EXCUSE ME BRETT. Did you shave Grandpa's legs while he was sleeping? That is NOT ok. I expect a clear explanation.
113,Was just informed about my blacked-out actions. I'm sorry I threw up on your dog and drew dicks on all your family photos. I got you a $25 iTunes® gift card. We cool?
114,"Mom, can we stop having Thanksgiving at Costco®? The samples are so small."
115,"Look, babe, we need to start seeing other people. I love you, but my dad said I could do better, and that's my fucking hero."
116,Why'd you lick my fingers after we high-fived? Be honest.
117,Quack quack! It's me :)
118,"It's been a couple days, but it still itches. Wanted to let you know in case it's contagious."
119,Had a great time last night. What if we went to a ballet class for our next date?
120,Hey brah. Send me that video of me making my pecs talk haha.
121,Did your wife tell my wife that we went skinny dipping together? I kinda thought what happens in Florida stays in Florida
122,Courtney we need to talk about your side boob exposure this morning at church.
123,"Someone just came into the store, made eye contact with me, and then pissed all of the floor. What do I do?"
124,"Bro, you don't get to just come into my dorm, microwave your deviled eggs, and leave."
125,"Your bio went from ""Jake Collins<3"" to ""fit n loose."" Are things ok?"
126,Hey I just want to be upfront with you. I just saw a picture of you on Facebook® without sunglasses and I don't think I'm interested anymore.
127,Are we just gonna keep tiptoeing around the fact that we locked eyes during the condom demonstration in health class?
128,"Do you have a tarp, rope, gloves, bleach and a shovel I can borrow? Let me know, in a bit of a time crunch"
129,"Look babe I know you want us to do a cute couple Halloween costume, but I'm gonna be Lightning McQueen"
130,Do you prefer skim or whole milk? Setting the dinner table and want everything to be perfect for our date night ;)
131,"Hey babe at the drugstore picking up tampons, what size vagina r u"
132,"Has anyone ever told you that you look EXACTLY like Stitch from Disney's® ""Lilo and Stitch?"""
133,"Hi Lindsay, sorry for trying to sext you while you were watching Toy Story 3 with your family last night."
134,"In ambulance right now! Kurt's testicles got twisted, and the EMT says one of them is a goner."
135,"So the clown for Jesse's birthday called in sick, and I know you can juggle. C'mon, man, be a friend."
136,Hey wanna go feed some geese...I got bread
137,My anus just prolapsed at my office holiday party. I need you to come get me ASAP!! Bring a plastic bag and some gauzes.
138,Wanna have a kid or something? To spice things up? I'm kind of bored.
139,"Pls put ur dick through a donut, and send a pic back. Trying to prove a point."
140,"Help, my erection is going on 5 hours."
141,"Before our flirting goes any further, you should know that I'm the ugly friend."
142,"Hey, I wanted to apologize for being a dick. I was watching ""Bridget Jone's Diary"" and feeling real emotional."
143,"Hey bro I had a wild afternoon and things got out of hand. Don't want to get more detailed than that, but does semen stain cargo shorts?"
144,"I know we're technically related, but have you ever thought about me as more than just your cousin?"
145,Have you seen my snakeskin boots? I've got a thing tonight.
146,"Hey, youuuuuu. Great time the other night. FYI, you should probably get tested."
147,Should I be a sexy Teletubby® or Kim Jong-un for tonight's sex?
148,Hey haha will you grab some updog on your way home?
