card_number,text
64,Excellent!!! I'll pick you up on my scooter
65,"Ooo, I love the passion in this text. Give me MORE!"
66,I'm shopping for Grandpa's coffin. Can this wait?
67,This is why you're not invited to Twister™ night with the boys anymore. Have fun with your wife.
68,"I can't rn. I've been on the shitter watching YouTube®, and both of my legs are asleep."
69,"Weird message to send to your band instructor, but okay we'll talk more at tomorrow's lesson."
70,Yep...pretty gnarly huh
71,Ooo someone has a sweet tooth ;)
72,Dad?
73,"You sent this in the group chat. Which one of us did you mean to send this to, Abby?"
74,"Haha, yeah classic me!"
75,"Can't right now. I'm playing ""Call of Duty."" And this 10-year-old is destroying my self-esteem."
76,If you're being serious then this is goodbye.
77,"Hey, sorry for not getting back to you sooner. saw my face from a different angle and started spiraling"
78,LMAOOO YOU'RE WILD!
79,"Oui, oui, my little croissant."
80,That sounds lovely. I can already smell the jumbo shrimp.
81,"Jason, I know you must be pretty excited about this new job, but we don't normally text co-workers on the weekends"
82,I'll never get back the 10 seconds of my life it took to read this.
83,Wow it's been so long. How you looking these days?
84,"What can I say, life's a beach and I'm just playing in the sand :)"
85,"Before I answer, you should know that I'm 9."
86,"As much as I like having a conversation with you, you literally gave me chlamydia so bye!!!!"
87,I told you to only text me if it was an emergency. This does not sound like an emergency to me.
88,"Go bother your therapist with that, I can't even begin to unpack this for you."
89,"Get a grip, Steven!"
90,"Wrong number, but I'm interested..."
91,"Thanks a lot. Your text made me jump, and I lost in fucking Jenga™."
92,"Sry, I have a boyfriend."
93,Blame my parents. Not my fault they raised a complete savage.
94,We met on Chatroulette®. Calm down.
95,"We've only had sex once...and it was a pity fuck, FYI."
96,"MOMMMMM, you're such a BITCH."
97,It's so cute when you act like our relationship didn't end 4 months ago.
98,"Lost all my numbers, but by the way this is [obscured by glare]"
99,"Look Dave, I miss the old days too, but our wives would kill us."
100,Stop trying to get a rise out of me.
101,"Tiffany, usually when you're fired it's not normal to keep texting your boss. Please lose my number."
102,"Sisss, now that's some tea. Spill more, and make sure it is HOT."
103,Let's get some pho and talk this out. My treat :)
104,Can't I at least get a trigger warning?!?! Damn.
105,"Jets™ just lost in overtime, and now you lay THIS shit on me?"
106,Boy oh boy! Count me in as an abso-heckin-lutely!
107,"Whoa, I see you as an awesome uncle but nothing more."
108,I don't remember giving you permission to talk to me
109,Are you seriously texting me while Mercury is in retrograde? That's all sorts of fucked up.
110,"Bill, I know we went to prom together in 1991 but I'm married now and have 2 kids"
111,I tried to buy concert tickets from you off Craigslist® like a year ago. WHY are you still texting me?
112,"If you want to butter my biscuit, you're gonna have to try a little harder than that."
113,"I just left therapy, I wish you had texted me before I went. Could have really used Dr. Jones's wisdom with this one."
114,Everything you just said is the reason I'm back in rehab.
115,"I want to say yes, but I feel like you're a Hufflepuff and I'm a full Gryffindor"
116,Maybe ;)
117,"This feels like a cry for help, but baby birds don't learn to fly unless you push them out of the nest, so I'm going to do the brave thing and ignore this message."
118,"Dude, you need to see a professional"
119,Look man I like you but you're just my plug. THAT'S IT.
120,Back off man I'm just following my heart
121,I'm filing a restraining order and this text will be going in as evidence
122,You're doing this again? What happened to wine night with the boys?
123,"Sounds like it's time to do the hokey pokey and turn yourself around!...Seriously, though, we're all worried about you."
124,"Well, you brought that on yourself when you broke my one-of-a-kind, collector's edition Shrek dildo."
125,"You and me both, buddy"
126,Yeah that's not important rn. Just got a new Alexa™. This chick will do anything!
127,"Please respect my privacy, Kristen"
128,Is it because I'm ugly?
129,"Wow, that was pretty rude...Ugh, why do I always fall for the bad boys? :)"
130,That was the old me. I wear my hat backwards now so get used to it.
131,"You know you're fuckin' w/a Kappa Sig, right?"
132,Well you just disrespected a future U.S. army soldier so
133,Sort of in the middle of a mental breakdown right now. I'll text you back when the CBD kicks in.
134,"One sec, looking for a damn to give"
135,"I'm on aux, and your text just interrupted the beat drop. Not cool and fuck you."
136,"What can I say, I'm just a small town girl livin in a lonely world"
137,"I was gonna say yes, but I remember you saying something about how you like to dip your Pop-Tarts® in ketchup and that's pretty messed up"
138,Let's get some soup and talk this out. My treat. :)
139,"Not what I was expecting but hey, my birth wasn't expected so who am I to talk"
140,I'd rather talk about this in-person. Your facial expressions always have me weak
141,Shut yo Skechers®-wearin' ass up.
142,I'm so confused I met you at a bar last week and we didn't even hook up
143,"Shhh, babe, you talk too much."
144,"Dude shut up, you listen to Pitbull"
145,You aren't hot enough to say shit like that
146,"Sorry Uncle Noah, my dad told me I'm not supposed to talk to you anymore"
147,"Bro, can't talk right now I'm watching Brokeback Mountain"
148,Aren't you the guy who was climbing trees at Nana's funeral?
149,"The past happened. We can't change it. Look forward, never backward."
150,"You good?? Take a bath, dude."
151,"Sorry, gotta vlog. My subscribers need me."
152,"Hey, that's show biz baby"
153,"Haha, sorry I can't tell if you're trying to be sexy or not and it's affecting the way I'm reading your text"
154,Say it louder for the people in the back!!!
155,Yeah! Is it ok if I bring my little brother? I promise he won't pull down your pants again.
156,Cancelling therapy. I'm cured.
157,"Maybe, maybe not. Stay woke ;)"
158,Haha I like where this is going :) lol
159,Calvin you know I'm in pottery from 3-5. Same as every other Wednesday.
160,Yeah dawg I'll grab my Camelbak®
161,Lemme transfer you over to my assistant. She's the best at this kind of stuff.
162,"Sorry for responding 2 years late, I was in the shower"
163,That's a secret I'll never tell ;)
164,"Ugh, just a sec. Someone is choking at the table next to me. I gotta perform an emergency tracheotomy."
165,Can we get back on track and talk about the group project? It's due tomorrow morning.
166,"Sorry, I just got a pet ferret, and nobody told me they smell like fucking asshole."
167,I haven't heard from you since 9th grade...
168,"Oh, I love, love, love that sooooooo MUCH. :)"
169,I will literally pay for your therapy out of my own pocket. This is next level psycho.
170,"Check out Weezy's new album, that'll calm ya down"
171,Boom shakalaka that's what I'm TALKIN bout!!!
172,Not surprised.... you were always pretty weird tbh
173,Well my mom thinks I'm handsome and that's all that matters.
174,"Sure, but I'll drive. Your narcolepsy really freaks me out."
175,"Mom, what?!"
176,"You need to sit down, take a Xanax® and relax"
177,You think that's bad?? I fucking failed my final because I only knew my name.
178,I want you to go walk up to a mirror and repeat that text to yourself out loud so you can feel how I just felt.
179,"Omg, lol, you so caught me. ;)"
180,"Yeah, some may call it bullshit. I call it coolshit."
181,That was really forward. I've never heard you say more than two words in my entire life
182,Can't talk right now. I'm crouching naked in my bathtub giving the ol'fohawk a trim.
183,"Woah, flashback to Bonnaroo."
184,Yay I love when you text first :)
185,I'm still not over you crying after we had sex
186,Isn't that written in the bible somewhere?
187,Eat a Snickers®. You be actin' dumb af when you're hungry.
188,Will I need my inhaler? My mom is making me ask.
189,"Sir, these are NOT the types of conversations we have on the Verizon Wireless™ 24-hour helpline. I will be disconnecting now."
190,"Sorry, I can't. Mom found my Fleshlight®. Grounded till Sunday."
191,You should send that again but as an audio message so I can hear ur sexy voice crack.
192,Why did you send that message with confetti?
193,Is this the same Matthew who got kicked out of our high school for selling bags of oregano to freshman?
194,I want to say no but then I remembered yolo so yeah sure
195,This is like the seventh time you've texted me that
196,Can I bring my stuffed animals?
197,"Well mom, maybe if you would sign my permission slip for the aquarium field trip, this wouldn't happen."
198,"My mom wants your info before we do this. Just in case, ya know."
199,Is this because I smoked you in chess? Get over it brah.
200,I screenshotted this and showed it to my big brother. You're dead meat.
201,Been there. You get used to it.
202,You're my second cousin and that isn't far enough removed for you to be texting me like this
203,"I wouldn't have it any other way, Aunt Sharon :)"
204,Oh you are definitely gonna be put on the naughty list for that one missy!
205,"Yeah, sometimes it really be like that, huh"
206,Tbh im still not over Steve Irwin's death and until I am I think we should stop texting
207,Meet me on Beacons St. and 4th under the bridge. 6 p.m. You're dead fucking meat.
208,Is this a Coldplay lyric? I can't tell lol
209,"Dude, you peed in my bed last night, don't hit me up"
210,Omg THIS. This is why I love you.
211,"Hehehehe, omg, what a coincidence that u texted me! The girls and I were just giggling about u."
212,I told you that would happen if you walked around in a Pennywise costume
213,"Brh, I'm drunk as fuck gang, gnag. I love u."
214,"Saturdays are for the boyz, not for you #sorrynotsorry"
215,Yeah but just a reminder pls don't eat peanuts or sesame before
216,grandma u a savage
217,nipples = hard
218,"Haha, that's crazyyyy. You should send a nude about it."
219,"No thanks, sex is for nerds"
220,"Mom, stop sending me texts from the living room"
221,I'm gonna say one thing and one thing only. I don't give a fuck.
222,Wait is this sketchy Tinder guy?
223,"Yeah, but I have to warn you, I sleep with my eyes open. It's just who I am."
224,"Let me finish my Hot Pocket®, and then I'll be in there like swimwear."
225,"Look, it's nothing against you personally. I'm just not that into those kids who don't know how to [obscured by glare]"
226,Might as well. Global warming is gonna kill us soon.
227,In a sexy way?
228,"I know you're only hitting me up because my start-up is killing it rn. Nice try buddy, should have been nicer to me in high school"
229,"I just found this phone at a Starbucks, but I'm down for sure."
230,"After a long talk with myself in the mirror, I think I'm ready to commit to that. See you soon."
231,"Txting bac to ths wth mi dickk, lolo."
232,Hahaha we're so going to tell our kids about this one day
233,Hydrogen Peroxide + pubic hair = I can't talk right now
234,Take me off your list of people to drunk text at 2am. I've been married for 3 years
235,You better be deadass or else that ass is dead!
236,"Hello, this is Karen's mother. She's in the shower and left her phone on the table. I'll pass along your message!"
237,My pug got neutered today. I kind of need to be here for him.
238,"Look you were great, but the eyepatch kind of freaked me out."
239,Bro you have seriously been the biggest meanie lately.
240,Fantasy Football is pretty serious right now. Can this wait?
241,Lol I read this in the voice of Spongebob™
242,Thank you for subscribing to the I-don't-give-a-fuck hotline. Press 1 for details. Or just never text this number again.
243,Give me a sec to compose a text explaining how little I actually care
244,"That is no way to start a conversation with your future mother-in-law, Jefferey."
245,"It was a freakin' prank, chill out"
246,"Don't worry, I'll be right there. Luckily, I just happened to be right outside your house when u texted me this, lol."
247,Now that...THAT is wtf I'm talkin' about.
248,"We've all been there, amirite?"
249,Gotchu fam
250,"Sorry I'm texting back so late, I didn't hear my phone buzz. I was scream crying into my pillow, and it was really loud."
251,"I'm at TJ Maxx® right now, shitting my brains out. It looks like a crime scene in here. Can this wait?"
252,Wish you were here so you could whisper that in my ear
253,"Can you stop texting me? I'm jerking off, and every time I see your name pop up, I lose my momentum."
254,You're beginning to sound like your crazy whore mother. Tone it down.
255,"I'm happy to help just this once, but next time you should call your urologist"
256,"I know I haven't responded to this for two years, but it still keeps me up at night"
257,Maybe you'd have more friends if u didn't text people shit like this.
258,"You can't expect me to respond after you told me I smell like the rodent section of a PetSmart®, words hurt man...."
259,"This is your boss, Chris. I think you have the wrong number."
260,Can't we just split a hoagie and talk things through?
261,I'm not gonna read that message because I don't want to critically think about my actions
262,It's 4 a.m. I'm gonna pretend like I didn't see this and go back to bed.
263,Not answering this unless guaranteed boob action
264,"Wow, you have some nerve to text me after drilling my sister."
265,Is this your way of telling me you wanna have sex?
266,I only feel comfortable answering this once I know your birth chart.
267,"Damn, are you a loan? Cuz you've got my interest..."
268,"Don't text me, I'm still salty about the whole you-giving-me-chlamydia thing."
269,These are my bird-watching hours. You know better.
270,"Well I do what I want when I want, so let's start there"
271,I only did that for attention but it was worth every view on Youtube
272,It's literally 4 AM right now....
273,I never thought I'd finally hear my birth mom tell me that
274,That's where I draw the line. And you're not blaming this one on your horoscope. Not this time
275,"Give me my prosthetic leg back, how about that? I haven't left my house in a week"
